dateutc;pm25;pm10;pm25f;pm25f24
2020-03-01+00:00:00;1.1;1.8;22.0;24.2
2020-03-01+01:00:00;1.4;2.3;19.0;24.3
2020-03-01+02:00:00;1.2;2.8;19.0;23.2
2020-03-01+03:00:00;2.0;14.8;17.0;22.4
2020-03-01+04:00:00;0.9;4.5;9.0;20.6
2020-03-01+05:00:00;0.5;1.0;9.0;18.5
2020-03-01+06:00:00;0.5;0.7;9.0;16.8
2020-03-01+07:00:00;1.3;3.5;11.0;15.4
2020-03-01+08:00:00;0.8;2.3;9.0;13.9
2020-03-01+09:00:00;1.6;1.7;8.0;12.5
2020-03-01+10:00:00;1.1;2.1;7.0;11.2
2020-03-01+11:00:00;0.5;1.5;6.0;9.6
2020-03-01+12:00:00;0.5;0.9;9.0;8.9
2020-03-01+13:00:00;0.6;1.1;5.0;8.3
2020-03-01+14:00:00;0.4;1.4;6.0;8.0
2020-03-01+15:00:00;0.2;0.6;6.0;7.6
2020-03-01+16:00:00;0.6;2.3;7.0;7.2
2020-03-01+17:00:00;NA;NA;7.0;6.9
2020-03-01+18:00:00;0.9;7.8;7.0;6.7
2020-03-01+19:00:00;0.9;7.8;8.0;7.0
2020-03-01+20:00:00;NA;NA;9.0;7.4
2020-03-01+21:00:00;7.6;10.8;7.0;7.6
2020-03-01+22:00:00;5.0;9.8;11.0;8.0
2020-03-01+23:00:00;1.4;2.2;14.0;8.6
2020-03-02+00:00:00;1.2;3.4;11.0;9.4
2020-03-02+01:00:00;1.1;1.6;15.0;10.1
2020-03-02+02:00:00;1.2;1.3;16.0;10.8
2020-03-02+03:00:00;2.2;2.6;18.0;11.7
2020-03-02+04:00:00;0.5;3.4;14.0;12.2
2020-03-02+05:00:00;0.5;5.3;10.0;12.7
2020-03-02+06:00:00;0.3;1.7;12.0;13.1
2020-03-02+07:00:00;0.6;0.8;20.0;13.6
2020-03-02+08:00:00;0.5;20.0;23.0;15.2
2020-03-02+09:00:00;1.8;19.4;26.0;16.6
2020-03-02+10:00:00;1.5;2.7;23.0;18.0
2020-03-02+11:00:00;1.7;2.8;28.0;19.5
2020-03-02+12:00:00;2.1;3.7;29.0;21.1
2020-03-02+13:00:00;1.5;1.8;29.0;22.5
2020-03-02+14:00:00;8.9;22.3;34.0;24.6
2020-03-02+15:00:00;7.1;15.7;33.0;27.5
2020-03-02+16:00:00;5.7;10.3;43.0;32.0
2020-03-02+17:00:00;3.8;6.4;40.0;34.1
2020-03-02+18:00:00;2.9;6.3;46.0;36.6
2020-03-02+19:00:00;3.5;22.5;50.0;38.4
2020-03-02+20:00:00;2.4;4.5;69.0;42.8
2020-03-02+21:00:00;5.9;9.0;79.0;48.3
2020-03-02+22:00:00;4.4;5.9;83.0;55.2
2020-03-02+23:00:00;4.7;10.5;46.0;58.9
2020-03-03+00:00:00;6.6;10.2;35.0;56.6
2020-03-03+01:00:00;6.5;7.2;39.0;56.4
2020-03-03+02:00:00;5.9;6.7;38.0;56.1
2020-03-03+03:00:00;4.6;7.2;36.0;55.2
2020-03-03+04:00:00;2.7;4.4;44.0;53.3
2020-03-03+05:00:00;3.6;5.5;58.0;50.6
2020-03-03+06:00:00;2.5;4.6;47.0;46.9
2020-03-03+07:00:00;5.1;5.6;39.0;42.3
